Designator,Mid X,Mid Y,Rotation,Layer
C1,139.7,-102.4,90.0,top
D1,165.96,-82.2125,90.0,top
L1,114.35,-102.85,0.0,top
R1,140.7,-102.4,270.0,top
U1,138.0,-102.4,270.0,top
